row_type	option_id	decision_option	option_scope	authorization_granted	authorization_required	creates_ready_executable_task	requested_species_count	requested_compressed_input_gib	requested_scratch_gib	requested_core_hours	requested_concurrent_species	requested_memory_per_job_gib	requested_persistent_storage_gib	requested_retention_days	current_strict_species_ceiling	current_strict_compressed_input_gib_ceiling	current_strict_scratch_gib_ceiling	current_strict_core_hours_ceiling	current_strict_concurrent_species_ceiling	current_strict_memory_per_job_gib_ceiling	current_strict_persistent_input_gb_ceiling	current_strict_persistent_output_gb_ceiling	projection_scope	metric	unit	low	base	high	calibration_status	evidence	requirements_or_blockers	disposition
decision_option	repair_remaining_candidate_metadata	Repair remaining candidate metadata	metadata-only identity, annotation, checksum, quota, and finite resource-envelope repair	no	no execution authority granted by this option	no									6	120	139.698386192	280	2	96	160	32							NOT_APPLICABLE_DECISION_OPTION	analysis/repaired_vgp_pilot_review.md;analysis/repaired_vgp_resource_calibration.tsv	Remain metadata-only; do not download biological payloads, submit jobs, build genotype data, or infer demography.	AVAILABLE_DECISION_ONLY
decision_option	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	a separately reviewed finite species wave; not full-catalog execution	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32							NOT_APPLICABLE_DECISION_OPTION	analysis/repaired_vgp_pilot_review.md;analysis/repaired_vgp_resource_calibration.tsv	A new request must numerically state exact species/accessions, compressed input, scratch, core-hours, concurrency, per-job memory, persistent storage, retention/expiry, I/O, and rollback; it must satisfy every stricter cap and receive a new exact GO.	REQUEST_NOT_MADE_OR_AUTHORIZED
decision_option	request_population_data_subset	Request authorization for a population-data subset	exact-reference, exact-population subset for method-specific input validation	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32							NOT_APPLICABLE_DECISION_OPTION	analysis/repaired_vgp_pilot_review.md;analysis/repaired_vgp_resource_calibration.tsv	A new request must numerically state exact species/reference/population/sample/asset identities, compressed input, scratch, core-hours, concurrency, per-job memory, storage, retention/expiry, I/O, and rollback. Raw bulk download and each PSMC/MSMC2/SMC++ inference require separate explicit authority; VGP H1/H2 is not an input shortcut.	REQUEST_NOT_MADE_OR_AUTHORIZED
decision_option	stop	Stop	retain the reviewed refusal and metadata audit as the terminal evidence packet	no	no execution authority granted by this option	no									6	120	139.698386192	280	2	96	160	32							NOT_APPLICABLE_DECISION_OPTION	analysis/repaired_vgp_pilot_review.md;analysis/repaired_vgp_resource_calibration.tsv	No further resource or biological action.	AVAILABLE_DECISION_ONLY
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	next_wave	aggregate_wall_hours	hours				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	next_wave	compressed_inputs_gib	GiB				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	next_wave	concurrent_species	count				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	next_wave	core_hours	core-hours				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	next_wave	cpus_per_element	count				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	next_wave	file_inodes	count				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	next_wave	memory_per_job_gib	GiB				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	next_wave	metadata_operations	count				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	next_wave	moosefs_read_gb	GB				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	next_wave	moosefs_write_gb	GB				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	next_wave	peak_bandwidth_mib_s	MiB/s				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	next_wave	persistent_input_gb	GB				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	next_wave	persistent_output_gb	GB				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	next_wave	scratch_gib	GiB				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	next_wave	species	count				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	full_eligible_catalog	aggregate_wall_hours	hours				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	full_eligible_catalog	compressed_inputs_gib	GiB				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	full_eligible_catalog	concurrent_species	count				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	full_eligible_catalog	core_hours	core-hours				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	full_eligible_catalog	cpus_per_element	count				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	full_eligible_catalog	file_inodes	count				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	full_eligible_catalog	memory_per_job_gib	GiB				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	full_eligible_catalog	metadata_operations	count				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	full_eligible_catalog	moosefs_read_gb	GB				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	full_eligible_catalog	moosefs_write_gb	GB				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	full_eligible_catalog	peak_bandwidth_mib_s	MiB/s				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	full_eligible_catalog	persistent_input_gb	GB				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	full_eligible_catalog	persistent_output_gb	GB				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	full_eligible_catalog	scratch_gib	GiB				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
resource_projection	request_bounded_expansion_wave	Request authorization for a numerically bounded expansion wave	projection only; no execution scope	no	yes before any acquisition, execution, expansion, or inference	no									6	120	139.698386192	280	2	96	160	32	full_eligible_catalog	species	count				NOT_ESTIMABLE_NO_SUCCESSFUL_OBSERVATION	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	Successful observed pilot telemetry is required before an observed-calibrated estimate can be populated. Full-catalog work is not a decision option and cannot be authorized through this projection.	UNAVAILABLE_ESTIMATE_NOT_AUTHORIZATION
