dataset_id	scientific_name	taxon_id	assembly_accession_version	provider	release	fasta_source_uri	fasta_upstream_md5	fasta_sha256	fasta_size_bytes	gff_source_uri	gff_upstream_md5	gff_sha256	gff_size_bytes	annotation_native_exact_reference	genetic_code
acyrthosiphon.pisum.tier3c	Acyrthosiphon pisum	7029	GCF_005508785.2	NCBI RefSeq	2022/05/11 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/508/785/GCF_005508785.2_pea_aphid_22Mar2018_4r6ur_v2/GCF_005508785.2_pea_aphid_22Mar2018_4r6ur_v2_genomic.fna.gz	af3871713c80765fd0bc477d8571cc19	0f0b70d2e796f81ed4e91a970bbf16ff3ea656e74df6fc23b512c4d5874e2dac	167804805	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/508/785/GCF_005508785.2_pea_aphid_22Mar2018_4r6ur_v2/GCF_005508785.2_pea_aphid_22Mar2018_4r6ur_v2_genomic.gff.gz	86bd85148c8191d2c3029694f5a9e0f4	5f6f553e50d7c2691925d70bf5aa75145c1c7ba2956c5988fef09ae0c7e7849a	10156145	True	1
aedes.aegypti.tier3c	Aedes aegypti	7159	GCF_002204515.2	NCBI RefSeq	2017/06/27 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/515/GCF_002204515.2_AaegL5.0/GCF_002204515.2_AaegL5.0_genomic.fna.gz	e50234909f18d446909a559848a191b8	9d652169b9d15f93cda7f6eb6714c090423c8ed640c4298deaa31d78b9b081d3	430585236	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/515/GCF_002204515.2_AaegL5.0/GCF_002204515.2_AaegL5.0_genomic.gff.gz	c764e3e9ee51b93f8c2dd0f2a9f08f09	15b042e322ab9f0f03b0bb88e2bb905e62f19ed31c9674da592bfdc5d600150c	7651742	True	1
agelaius.phoeniceus.tier3c	Agelaius phoeniceus	39638	GCF_051311805.1	NCBI RefSeq	2025/07/14 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/311/805/GCF_051311805.1_bAgePho1.hap1/GCF_051311805.1_bAgePho1.hap1_genomic.fna.gz	5242ba11b0c577642326b0a5046d4199	221444d76648be6daf6507e1b83057809cd4b4797e9e30083889f959198ef2f1	385885577	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/311/805/GCF_051311805.1_bAgePho1.hap1/GCF_051311805.1_bAgePho1.hap1_genomic.gff.gz	9dd07ed0cc7eff19742f11f1c70efb2e	057e1022f9d4af3bd7a1a316acf8e676d0565231b8c3811309ce13490febce07	17374236	True	1
ailuropoda.melanoleuca.tier3c	Ailuropoda melanoleuca	9646	GCF_002007445.2	NCBI RefSeq	2022/04/13 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/445/GCF_002007445.2_ASM200744v3/GCF_002007445.2_ASM200744v3_genomic.fna.gz	d554768fcfbe80c03ea969fda1e75501	524afde8a774628f095cd69712c724fb762e14c86aa70f200151af9d01861f2a	797869845	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/445/GCF_002007445.2_ASM200744v3/GCF_002007445.2_ASM200744v3_genomic.gff.gz	9ad56570bd0a8b2d290b78d50eb23c7c	f70c7af27b604c1c50e1875650740d0aa59d50b8869e938c486a733ca318480e	23340091	True	1
amphimedon.queenslandica.tier3c	Amphimedon queenslandica	400682	GCF_000090795.2	NCBI RefSeq	2022/07/26 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/795/GCF_000090795.2_v1.1/GCF_000090795.2_v1.1_genomic.fna.gz	6f7afac98a5d09f47c8d2793636ec0de	3ba1a0959b2a7062be910da03546ccd8043e220e05f0c874453930c5d174c339	47774951	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/795/GCF_000090795.2_v1.1/GCF_000090795.2_v1.1_genomic.gff.gz	a10a349dd3606595c5e14e3db374cd92	cd2e9c865f6264b8287b5f9fc5f9d8779a7bedf4210399dbf8ef0f1c58cf4127	8915355	True	1
anopheles.arabiensis.tier3c	Anopheles arabiensis	7173	GCF_016920715.1	NCBI RefSeq	2021/03/10 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/920/715/GCF_016920715.1_AaraD3/GCF_016920715.1_AaraD3_genomic.fna.gz	e1d75100450f0b05f9d20a7e86c303a4	68aa693543a9f293bfaa4635a4984451ccaf79d2aa8cf3576168dd22395ec1f1	82914256	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/920/715/GCF_016920715.1_AaraD3/GCF_016920715.1_AaraD3_genomic.gff.gz	f4153e1dcdbe28a7d3fc9bcd5b002cfd	7157267cad727a342851da1079ebfb3a9b80f00634eaeeb974b2bc651d890e5a	6428125	True	1
anopheles.gambiae.tier3c	Anopheles gambiae	7165	GCF_943734735.2	NCBI RefSeq	2023/01/19 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/735/GCF_943734735.2_idAnoGambNW_F1_1/GCF_943734735.2_idAnoGambNW_F1_1_genomic.fna.gz	e904a3da11d0e2d9714e964b3f36ed25	eda4a91ead57f6d2d6ceaae69d91ab2e553ceb5ace63c8d88e589b0345f11244	84598537	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/735/GCF_943734735.2_idAnoGambNW_F1_1/GCF_943734735.2_idAnoGambNW_F1_1_genomic.gff.gz	59b24edc093b8a100cadc484f62a613d	238a0098d32c8295e5e071369534b98aee7cdae34cfd84cd9dd12197ffff983a	7687873	True	1
anopheles.merus.tier3c	Anopheles merus	30066	GCF_017562075.2	NCBI RefSeq	2021/04/26 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/562/075/GCF_017562075.2_AmerM5.1/GCF_017562075.2_AmerM5.1_genomic.fna.gz	75e41ae5369381b9dc598360209b1358	19f5d1b38c9a00746ddf688eb121ea5e0c315aeef053e26539b455351d28125f	93262342	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/562/075/GCF_017562075.2_AmerM5.1/GCF_017562075.2_AmerM5.1_genomic.gff.gz	a25f5de4e1730cd4c7216f13815f3864	eb76ce2e669d2bf549b5123d9fe31604151ac1145ab147c33fe250f7c0df760f	7071512	True	1
anopheles.quadriannulatus.tier3c	Anopheles quadriannulatus	34691	GCA_000349065.1	NCBI GenBank	2013/04/08 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/065/GCA_000349065.1_Anop_quad_QUAD4_A_V1/GCA_000349065.1_Anop_quad_QUAD4_A_V1_genomic.fna.gz	7ac7f62156f08c2a0b917171f214fefe	2e4adb6cc4a62f38f1a76f014dd358f12f13158b8c12c0cd6a5abd749499e0e8	72726068					False	
apis.cerana.tier3c	Apis cerana	7461	GCF_029169275.1	NCBI RefSeq	2023/03/14 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/169/275/GCF_029169275.1_AcerK_1.0/GCF_029169275.1_AcerK_1.0_genomic.fna.gz	36c47c297a995cb339c589e347ce3a4c	61d9aa06a311adf8b610388997a74f568b58fbc6d362b1022a4d84fbbbf4e007	72882145	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/169/275/GCF_029169275.1_AcerK_1.0/GCF_029169275.1_AcerK_1.0_genomic.gff.gz	07a1720414b66e19f4633385cdfc7e9b	3c7a1180d389bc4087360d793d8b1198368345eec18e9253d25807a7a05708c3	9532932	True	1
apis.mellifera.tier3c	Apis mellifera	7460	GCF_003254395.2	NCBI RefSeq	2018/09/10 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/254/395/GCF_003254395.2_Amel_HAv3.1/GCF_003254395.2_Amel_HAv3.1_genomic.fna.gz	2e53aa9ba7040a7b8cad2383faa58fa3	7fd6924b76400008d798d184dfeb18d97d189e6e50b95579d8c5fc9ab99142db	73191176	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/254/395/GCF_003254395.2_Amel_HAv3.1/GCF_003254395.2_Amel_HAv3.1_genomic.gff.gz	1131d4a4996935cbee56f86fc94c185f	57fdf1adb22259ac8a97b10738298d80f00869ac7b28c4fe31e90937eac6b546	8292253	True	1
aporrectodea.icterica.tier3c	Aporrectodea icterica	332519	GCA_963556255.1	NCBI GenBank	2023/10/13 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/556/255/GCA_963556255.1_wcApoIcte1.1/GCA_963556255.1_wcApoIcte1.1_genomic.fna.gz	c679524541f1efcc8ce9c662f952f560	fb60c6eb999488f703a2047c8a7eaa2f788f23fd9862cb44f6a2578f61e0bdbf	362089156					False	
aptenodytes.patagonicus.tier3c	Aptenodytes patagonicus	9234	GCF_965638725.1	NCBI RefSeq	2025/07/09 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/965/638/725/GCF_965638725.1_bAptPat1.pri.cur/GCF_965638725.1_bAptPat1.pri.cur_genomic.fna.gz	9faf239c1c85156c101e570b238e251b	e5a58a30dc44ce24f1d8b2133b5fbe8cefdc5464b0929a912bfc961dc0a27305	434631863	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/965/638/725/GCF_965638725.1_bAptPat1.pri.cur/GCF_965638725.1_bAptPat1.pri.cur_genomic.gff.gz	9a6cf670c32d65629567d325b20a5f48	5538866a3317aa8d589e7187325cc09091973a9fafb7059ba26613505389bdf5	15767362	True	1
armadillidium.nasatum.tier3c	Armadillidium nasatum	96803	GCA_009176605.1	NCBI GenBank	2019/10/18 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/176/605/GCA_009176605.1_CNRS_Arma_nasa_1.0/GCA_009176605.1_CNRS_Arma_nasa_1.0_genomic.fna.gz	de787a5277d2c1c823ec011aa84be377	4b2c74b79ecab745a4c87d2a6a66c7b07df3989de239a926775c9b332b780922	352610762	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/176/605/GCA_009176605.1_CNRS_Arma_nasa_1.0/GCA_009176605.1_CNRS_Arma_nasa_1.0_genomic.gff.gz	a36d218bedfe2abb91692caad72dc451	d7b75d82bb45a2cdf664d1f9497528ac4297fede81c022731a067361e54c1ce5	5265399	True	1
armadillidium.vulgare.tier3c	Armadillidium vulgare	13347	GCA_051530015.1	NCBI GenBank	2025/07/24 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/051/530/015/GCA_051530015.1_Avulg_BH_1.0/GCA_051530015.1_Avulg_BH_1.0_genomic.fna.gz	d7b445df95e518b19311d5347a56c54f	cb21bc042cf601688778e8548e5559fce029fccb838d293b4567de0bf00ea0a3	563065878	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/051/530/015/GCA_051530015.1_Avulg_BH_1.0/GCA_051530015.1_Avulg_BH_1.0_genomic.gff.gz	9f9dbacd93567b9f96e95da7ab65ceed	db990db109b2792207621aff9f9f2a017e03e7c0b4677c263d4e3d8c009dc4d6	4885539	True	1
artemia.franciscana.tier3c	Artemia franciscana	6661	GCF_032884065.1	NCBI RefSeq	2023/10/23 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/884/065/GCF_032884065.1_ASM3288406v1/GCF_032884065.1_ASM3288406v1_genomic.fna.gz	ef49781fe2246deab4c683e2508e3db3	73450c7153c18c1d272e02873def0be52cf8740f2489ee3b9a9c9a583a3dbfff	390190598	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/884/065/GCF_032884065.1_ASM3288406v1/GCF_032884065.1_ASM3288406v1_genomic.gff.gz	3823b462dd324a07d154615501503654	5ad87b09482b7e27ae48c45fde5387a143f4dc7dc612a970a992088e1b0c7ff8	9025050	True	1
balaenoptera.bonaerensis.tier3c	Balaenoptera bonaerensis	33556	GCA_000978805.1	NCBI GenBank	2015/04/23 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/978/805/GCA_000978805.1_ASM97880v1/GCA_000978805.1_ASM97880v1_genomic.fna.gz	0af9d3410e25cf2f9b4171d8a7b2fa77	5c25e1436dafd16b9e76f8a192854a7d3e595de6d577ab09eb805a44c553990b	763447002					False	
bombyx.mandarina.tier3c	Bombyx mandarina	7092	GCF_003987935.1	NCBI RefSeq	2018/12/31 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/987/935/GCF_003987935.1_ASM398793v1/GCF_003987935.1_ASM398793v1_genomic.fna.gz	55320fa342f3814e2a96d8f9771d02bd	b685e929dac348f9edce9773b2e4acf0d246885721aa62d10c37655534585f01	133343726	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/987/935/GCF_003987935.1_ASM398793v1/GCF_003987935.1_ASM398793v1_genomic.gff.gz	79af8de288b837c6a496d0bfb754bd3c	b0f9fcc644554de8c4af0f68cec2408bd49576fb25751e644d50c2b9fcc266bd	6343895	True	1
bos.taurus.tier3c	Bos taurus	9913	GCF_002263795.3	NCBI RefSeq	2023/08/08 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/263/795/GCF_002263795.3_ARS-UCD2.0/GCF_002263795.3_ARS-UCD2.0_genomic.fna.gz	b856ff696adbb5bebd858cd28c96878a	9d437812b3b0296dc07704d1b4baeaf28ba972c09bcd257af53fb0ddde521b94	906536432	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/263/795/GCF_002263795.3_ARS-UCD2.0/GCF_002263795.3_ARS-UCD2.0_genomic.gff.gz	06021909c32a6d43b2a21ca06430b052	1464f1f7d621e6d845501fa0756335fbd7935e4202db2f20a6567a6389b13454	31634939	True	1
caenorhabditis.elegans.tier3c	Caenorhabditis elegans	6239	GCF_000002985.6	NCBI RefSeq	2013/03/04 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/985/GCF_000002985.6_WBcel235/GCF_000002985.6_WBcel235_genomic.fna.gz	177a91ec15063e305188306b7e709cb1	4fdb7e37e6bddef3e13c534e3a8aabc4a45c9385500989df98f868bdd05d818b	33288126	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/985/GCF_000002985.6_WBcel235/GCF_000002985.6_WBcel235_genomic.gff.gz	1656bccd184bf57434724f35bea89738	47ea571a4bd1d0640467da00a2ff43f71c7a9c7f250f17df3bbf378d9d98b415	11254650	True	1
callithrix.jacchus.tier3c	Callithrix jacchus	9483	GCF_049354715.1	NCBI RefSeq	2025/04/08 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/354/715/GCF_049354715.1_calJac240_pri/GCF_049354715.1_calJac240_pri_genomic.fna.gz	c3b189f4b3aaf78f157cfe4495896aa0	9f11fa44fa45262a4d49f608fc3dbdb6aa33d8e403a0a1a85693d0a2609a7b79	956397510	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/354/715/GCF_049354715.1_calJac240_pri/GCF_049354715.1_calJac240_pri_genomic.gff.gz	efe810333b08da5e416f65165d6306b2	b074c75d3389fa78ff91e4ab8a920aae42367817148162f1c5c981cd46460b9a	52165132	True	1
canis.lupus.tier3c	Canis lupus	143281	GCF_048164855.1	NCBI RefSeq	2025/02/27 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/164/855/GCF_048164855.1_mCanLup2.hap1/GCF_048164855.1_mCanLup2.hap1_genomic.fna.gz	b119e2e7c24fd192bf98f6253fa2811a	20488c724a655ebb8a21f1d33d7cd43dae36b7f037929d1c14d777fa9c02e53d	812872774	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/164/855/GCF_048164855.1_mCanLup2.hap1/GCF_048164855.1_mCanLup2.hap1_genomic.gff.gz	46b2e29b9a9d287f3d630864cd46b3df	a305249f46d9441cb730d6a1781c67b8ec7ef7dec20cdf4ad66f21db57320d32	32339568	True	1
carcinus.aestuarii.tier3c	Carcinus aestuarii	53602	GCA_977112055.2	NCBI GenBank	2026/04/19 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/977/112/055/GCA_977112055.2_qmCarAest1.2/GCA_977112055.2_qmCarAest1.2_genomic.fna.gz	2c8554abff0f20ac24b4ae7e6d57b2b0	9daf7204c191a1cc76bb03a459d0b00c974b8313953b8eaf2bb9bb949d4f8e3f	297972746					False	
cecidostiba.fungosa.tier3c	Cecidostiba fungosa	797374	GCA_900474305.1	NCBI GenBank	2018/07/06 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/474/305/GCA_900474305.1_Cfun/GCA_900474305.1_Cfun_genomic.fna.gz	e973fe3682dfad530d9e15557a9a42a8	baa42567ca300251fe0496c5492b08f294232860899490b48c7e4c04d96e088f	64248067					False	
ceratitis.capitata.tier3c	Ceratitis capitata	7213	GCF_000347755.3	NCBI RefSeq	2017/12/11 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/347/755/GCF_000347755.3_Ccap_2.1/GCF_000347755.3_Ccap_2.1_genomic.fna.gz	5dc9705c299c8c02504ebd63a9bb1869	b3e1cbc8be54405b18a96820f2287c2f3adc358de884dd6efdc38fe80b7b482f	148488212	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/347/755/GCF_000347755.3_Ccap_2.1/GCF_000347755.3_Ccap_2.1_genomic.gff.gz	e5f9fcb4a8e2fac867f79200e7fc47fe	02a5bc71e3aa2ef92c121a3926b3fa05b129cf06223d69da8815c6d94ee7e38d	6096558	True	1
chlorocebus.aethiops.tier3c	Chlorocebus aethiops	9534	GCA_023783515.1	NCBI GenBank	2022/06/18 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/023/783/515/GCA_023783515.1_ASM2378351v1/GCA_023783515.1_ASM2378351v1_genomic.fna.gz	df0dd2b56342caf557c1e0766ad78da4	9eac80ff7f832bad74bc7d80e12635de31f7581eaf77b8d08016ebdbb1a1e26e	929969806					False	
ciona.intestinalis.tier3c	Ciona intestinalis	7719	GCF_018327825.1	NCBI RefSeq	2025/11/21 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/327/825/GCF_018327825.1_ASM1832782v2/GCF_018327825.1_ASM1832782v2_genomic.fna.gz	c9eacbcc32a5182a496cfa7e057b9aa2	c1275124c318ff9a829c0cfbc84b88ba64e9a593405df4a996bb8c230edde5a1	44605178	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/327/825/GCF_018327825.1_ASM1832782v2/GCF_018327825.1_ASM1832782v2_genomic.gff.gz	5acd9a693eea48d5a944fa7f7273cf21	5a476c44c11330dc9a950e4d9be41c9a770460cdc2d8da2ce5aa07879498870f	8614639	True	1
ciona.savignyi.tier3c	Ciona savignyi	51511	GCA_054131345.1	NCBI GenBank	2025/12/23 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/131/345/GCA_054131345.1_ASM5413134v1/GCA_054131345.1_ASM5413134v1_genomic.fna.gz	b16349fcd55225665dd464d7d4a04656	9b840a41e72fb00595b50e45efa4bcef2341e4879757b2c0412aee415d862ee7	64028371					False	
crassostrea.gigas.tier3c	Crassostrea gigas	29159	GCF_963853765.1	NCBI RefSeq	2023/12/13 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/853/765/GCF_963853765.1_xbMagGiga1.1/GCF_963853765.1_xbMagGiga1.1_genomic.fna.gz	e1d6d4f1a8f9c5cd87bb006dd5fd9f98	47849889a031f696e873902b7c3f04adc5acf0f3137790fd3e234148bb5249fe	183715815	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/853/765/GCF_963853765.1_xbMagGiga1.1/GCF_963853765.1_xbMagGiga1.1_genomic.gff.gz	f358436291fd77299046268947f8d6bb	c4e99fc4a416105fc7f71a303b0fd10023e125535faf317c7121562f19c08189	19202177	True	1
culex.pipiens.tier3c	Culex pipiens	42434	GCF_016801865.2	NCBI RefSeq	2022/08/05 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/801/865/GCF_016801865.2_TS_CPP_V2/GCF_016801865.2_TS_CPP_V2_genomic.fna.gz	fc17d311eb89c94301821d22c8580cd2	6f67e9495dc9142b5b4a241d83590cb0d2a720676d28427ca3286e647a46e85f	181612772	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/801/865/GCF_016801865.2_TS_CPP_V2/GCF_016801865.2_TS_CPP_V2_genomic.gff.gz	1ae66c66d45201f784e7abe9cf163e4d	7c95b03eb12b7c16d816ca1658caf6d4f433e710261555d0d1dcb1e18defebc3	6345721	True	1
cynoglossus.semilaevis.tier3c	Cynoglossus semilaevis	244447	GCF_000523025.1	NCBI RefSeq	2014/01/29 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/523/025/GCF_000523025.1_Cse_v1.0/GCF_000523025.1_Cse_v1.0_genomic.fna.gz	d27985580511d29dd7c316da61340467	8bd55578fcd155d7996e2c2d2f9c80d6e0e6fc293934f2432c4f061578074ede	150641660	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/523/025/GCF_000523025.1_Cse_v1.0/GCF_000523025.1_Cse_v1.0_genomic.gff.gz	c04d954307257cbf6889ca797b0fafd8	3a3a09a33149c2d2abb7ecdd609316627f844c3b189ede616a45eb2ef8f5a0ef	17297130	True	1
danio.rerio.tier3c	Danio rerio	7955	GCF_049306965.1	NCBI RefSeq	2025/04/04 00:00	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/306/965/GCF_049306965.1_GRCz12tu/GCF_049306965.1_GRCz12tu_genomic.fna.gz	eb074402543deba98a52a1ae726398e3	922689be0c9c42874c301e583da3ab862eaf44cc3cb447b1237c27a1cb3d110d	459488871	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/049/306/965/GCF_049306965.1_GRCz12tu/GCF_049306965.1_GRCz12tu_genomic.gff.gz	cd74b45600e4e5b44fe4d1e78dd1e2d4	305718cc2252f29b009b6f4b9accc0fae58fa809b26c8b6756e662a325998a83	49213249	True	1
