decision_id	decision_kind	stage	issue_or_scope	source_or_tension	resolution_hard_gate	status	owner	evidence_required	resulting_graph_effect
D001	executive_scope	0	Freeze local schemas and synthesis artifacts	Both completed planners are specifications and task requires reviewed graph only	Permit local schema/hash/TSV validation only within 8 core-h, 4 CPU, 16 GiB, 8 h, 2 GB and zero network	proceed within recorded bounded scope	Program Architect and Data Provenance Reviewer	Direct dependency proof, upstream hashes, G01-G32 crosswalk and parser checks	F00 may run; no external or compute node becomes authorized
D002	contradiction	1	Guidance claims raw VGP TSV is committed but synchronized repository lacks it	results/tier3/vgp_freeze_analysis.md versus analysis/vertebrate_scaleout_origin_inventory.md	Treat raw TSV as absent; reported counts remain unreproduced; require immutable one-object retrieval decision and never execute moving-main command	requires explicit user authorization	Human project owner	A00 exact commit/object URL, <=1 MB, license, retrieval time and rollback	S00 directly depends on A00
D003	contradiction	1	Reported 40 triple candidates and 120 composition candidates versus zero execution-eligible synchronized rows	Catalog screen is necessary while exact references, native annotation, denominators and assets are unresolved	Use counts only as planning denominators; execution eligibility remains zero until every conjunctive row gate passes	proceed within recorded bounded scope	Inventory Curator	Closed row ledger and exact eligibility reasons	No candidate is selected by headline count or generic ready flag
D004	contradiction	1	Three completed Tier3A prototypes versus VGP freeze target cohort	Prototype telemetry exists, but guidance says two lack RefSeq annotation and one is an alternate rather than reciprocal pair	Keep all three record_role=calibration_only and anti-join from scientific freeze results	proceed within recorded bounded scope	Tier3 Scientific Reviewer	Calibration role and cohort collector rejection test	Calibration can inform resource model only
D005	contradiction	1	H2 text labels and project ID versus exact executable assets	Guidance names 13 H2 labels and PRJNA489243 but lacks versioned H2/accession-level evidence	A label or project ID never substitutes for versioned accession, reciprocal same-individual proof, exact URL and checksums	proceed within recorded bounded scope	Data Provenance Reviewer	Pair evidence packet per row	Unresolved rows stay blocked; no latest/alternate substitution
D006	contradiction	1	RefSeq GCF association versus requirement for original H1-native annotation	A GCF may be paired with a GCA without byte-identical sequence content; newer/projected annotations may be convenient	Require declared original annotation plus one-to-one component sequence-set/length identity to exact H1, native status, contig bijection and CDS audit	proceed within recorded bounded scope	Annotation and Provenance Reviewers	Annotation linkage, sequence-set digest, contig map, GFF hash, genetic code and reconstructed CDS audit	Projected/lifted/mismatched/newer annotation is rejected, not repaired
D007	gate	1	Callable and queryable denominators	Pair labels or variant presence can be mistaken for denominator evidence	Require positive original, queryable and callable H1-reference denominators for the claimed target; zero/unknown is missing and ineligible	proceed within recorded bounded scope	Tier3 Scientific Reviewer	Mask/target hashes, bases/genes and exclusion audit	No diversity/composition result without its exact denominator
D008	contradiction	2	Baseline Guix profile lacks IMPG while validated handoff profile contains it	Origin audit warns general manifest deliberately has no IMPG; Tier3 plan preserves audited supplemental profile	Keep baseline and supplemental lineages separate; production requires reviewed combined SweepGA/IMPG packet and exact recorded binaries; ambient IMPG is fatal	requires explicit user authorization	Human project owner and Reproducibility Reviewer	A20 exact manifests, derivations, closure, two-build SweepGA, IMPG submodules, <=30 GB store growth and smoke	E20 directly depends on A20; local packaging specs may proceed
D009	responsibility	2	SweepGA versus IMPG versus annotation versus bcftools ownership	Tools could be treated as interchangeable in a permissive implementation	SweepGA alone maps whole H1/H2 with native 1:1 and scaffold-jump 0; IMPG alone indexes/partitions/queries/laces; original H1-native targets select regions; bcftools alone normalizes/indexes BCF/VCF	proceed within recorded bounded scope	Reproducibility and Tier3 Scientific Reviewers	Rendered command fingerprints and fixture contract tests	D10 must fail any responsibility bypass
D010	contradiction	2	Existing successful jobs versus permission to reuse legacy or superseded artifacts	Validated historical outputs provide calibration but may have different lineage or cohort	No wildcard/legacy/partial/superseded object is consumable; only signed current manifest and valid sentinel can resume	proceed within recorded bounded scope	Data Provenance Reviewer	Supersession ledger, input anti-join and partial scan	Collectors reject unlisted or superseded input
D011	authorization	3	Small eight-slot pilot acquisition	Tier3 plan proposes a pilot but planner completion is not approval	Require A30 with exact eight rows/accessions/checksums/terms and <=160 GB download/input before staging	requires explicit user authorization	Human project owner and Data Steward	Signed A30 exact scope, expiry, retention and rollback	S30 directly depends on A30
D012	authorization	3	Small eight-slot pilot compute	Preflight success might otherwise make Slurm executable ready	Require separate A31 with <=280 core-h, 96 GiB/job, 17.5 h, 150 GB scratch, 32 GB output, I/O and concurrency caps	requires explicit user authorization	Human project owner	Signed A31 commands, rows, Guix lineage, resources, I/O and rollback	X30 and X31 directly depend on A31
D013	authorization	3	Pilot continuation exceeding any stated small budget	Retry or underestimated row could silently cross the approved cap	Default pilot stops at first cap; any extra byte, core-hour, wall, memory, scratch, output, I/O or concurrency requires a distinct delta decision A32	requires explicit user authorization	Human project owner and HPC Storage Reviewer	Cause analysis, exact delta, revised prediction, rollback and expiry	Only conditional X32 depends on A32; base pilot cannot charge overage
D014	contradiction	3	Tier3 assembly pilot bound 280 core-h versus demographic pilot bound 2000 core-h	Upstream branches describe scientifically distinct pilots	Do not merge budgets or permissions; assembly pilot stays at 280 core-h and demographic methods stay separately behind A70/A71 with 2000-core-h ceiling	requires explicit user authorization	Human project owner	Separate row/method manifests and budget decisions	A31 cannot authorize D71; A71 cannot authorize X30/X31
D015	threshold	3	Tier3 prediction error <=35% median and <=75% p95 versus Ne allowance of <=2x base	Choosing the more permissive shared threshold would weaken Tier3 gate	Apply <=35% median and <=75% p95 wherever prediction errors are comparable, and additionally no demographic stage may exceed 2x base	proceed within recorded bounded scope	HPC Storage and Reproducibility Reviewers	Pilot telemetry and prediction-error distribution	Q30/Q71 fail closed when either applicable rule fails
D016	threshold	3	Tier3 first-attempt technical failure <=1/8 versus demographic hard-input failure >10%	Different methods and denominators could obscure failure policy	Assembly pilot keeps <=1/8 technical and zero unexplained; demographic pilot requires >=90% eligible completion and stops above 10% hard-input failure; all hard scientific gate violations remain zero in both	proceed within recorded bounded scope	Scientific and Demographic Methods Reviewers	Closed status ledgers with failure class	No denominator silently shrinks
D017	workflow	3	Slurm afterok versus need to retain failed array elements	Release wants successful dependencies but closed-world collection must see failures	Use aftercorr for row stages, afterany for collectors, and afterok only after collector/evaluation proves a complete zero-unexplained-failure ledger	proceed within recorded bounded scope	Reproducibility Reviewer	Rendered dependency graph and failure fixture	A failed element cannot disappear from collection
D018	workflow	3	MooseFS throughput versus repeated whole-genome streaming	Parallel arrays could overload storage and metadata service	Stage immutable inputs once to node-local scratch; batch atomic promotion; transfers <=2; pause at 80% caps and stop resumption at 95%; keep 25% quota headroom	proceed within recorded bounded scope	HPC Storage Reviewer	Five-second telemetry, sacct/sidecar, MooseFS bytes/RPCs and quota projection	Launch controller steps down or stops; no gate is weakened
D019	retention	3	Reproducibility versus storage pressure	Keeping every intermediate forever conflicts with quota; immediate cleanup harms audit	Retain provenance/final/failures/telemetry through publication plus seven years, inputs through reproducibility review, reproducible intermediates through QC plus 90 days, failed partials <=14 days; cleanup requires exact checksum ledger	requires explicit user authorization	Human project owner and Data Steward	A81 or stage-specific signed retention/deletion list and rehydration test	No unresolved glob deletion; quota pressure causes no-go until decision
D020	review	4	Pilot success versus permission to expand	An automatic graph could treat passing evaluation as authorization	Independent quality, statistical/circularity, resource prediction, storage and MooseFS review only makes A50 askable	proceed within recorded bounded scope	Independent four-reviewer panel	Closed pilot packet and all quantitative thresholds	No expansion executable becomes ready from R30 alone
D021	authorization	5	Each expansion wave	Tier3 plan says separately reviewed waves; a blanket decision would bypass future evidence	Every wave has a unique human A50/A5N with exact rows, downloads, compute, I/O, retention, expiry and rollback	requires explicit user authorization	Human project owner plus review panel	Prior-wave closed ledger, telemetry refit and signed next-wave manifest	Each wave executable directly depends on its own decision
D022	authorization	6	Full-catalog Slurm submission	Wave approvals or synthesis could be misread as catalog permission	Require distinct joint A60 after full-readiness review; cumulative high envelope is a ceiling, not an allocation request	requires explicit user authorization	Human project owner plus Scientific, HPC Storage and Reproducibility Reviewers	Zero retries/blockers, exact remaining rows, >=25% headroom, 100% hash and >=99.9% record QC	Full Tier3A/Tier3C executables directly depend on A60
D023	contradiction	6	Tier3A reported 40 and Tier3C reported 120 overlap	Adding 40+120 would double-count shared assets and overstate catalog species	Model combined reported catalog as 120 species with checksum-deduplicated assets; keep modality eligibility and results separate	proceed within recorded bounded scope	Inventory Curator and HPC Storage Reviewer	Exact overlap and checksum deduplication ledger	Resource totals use combined resource-budget rows, not 160 species
D024	resource	6	Assembly low/base/high values versus incomplete telemetry	Upstream budget includes measured timing but missing Tier3A RSS/scratch/MooseFS counters	Preserve 28/116.2/1482 core-h and all stated low/base/high planning bounds; label them non-allocating and require pilot telemetry/refit before wave decisions	proceed within recorded bounded scope	HPC Storage Reviewer	Pilot five-second metrics, sacct/sidecar, file/inode and MooseFS counters	A50/A60 cannot approve from genome length alone
D025	contradiction	7	H1/H2 assembly pairs versus PSMC/MSMC2/SMC++ inputs	Assembly plan has pair diversity; Ne plan has method-specific callable genotype/cohort requirements	Assembly status never promotes population/demographic status; require method-valid genotype/consensus or cohort, exact reference/masks, phase where needed and population proof	proceed within recorded bounded scope	Demographic Methods Reviewer	Method matrix gates and exact input ledger	Invalid H1/H2 conversion is rejected and retained
D026	circularity	7	Ne algebraically inferred from response pi or genomic histories reused as predictors	Such values can appear biologically meaningful but recode the same observations	Reject pi/(4mu), equivalents, response theta, and shared-site/sample PSMC/MSMC2/SMC++/SFS as primary predictors; primary overlap must equal none and unknown fails closed	proceed within recorded bounded scope	Statistical/Circularity Reviewer	Response dataset IDs, site/sample/mask overlap audit and validator anti-join	Excluded rows remain only in circularity/missingness ledger
D027	contradiction	7	Literature label Ne versus genuinely independent measured demography	Copying a value from a paper does not prove independent samples/sites or compatible estimand	Audit underlying data and retain exact Ne_LD, NeV, pedigree/inbreeding/variance Ne or Nb with population/date/method/uncertainty; never generic Ne	proceed within recorded bounded scope	Demographic Source Curator	Original source locator, samples/loci, overlap, taxon/population/time match	Only exact independent records enter separate secondary models
D028	scaling	7	Native coalescent scales versus desired absolute Ne/calendar time	Borrowed point mutation and generation rates can create false precision	Retain scaled outputs first; absolute scenarios require foreign-keyed per-generation mu and generation-time distributions, ploidy/heredity, recombination treatment, transfer distance and propagated joint uncertainty	proceed within recorded bounded scope	Demographic Methods and Calibration Reviewers	Formula/convention and calibration scenario records with draws	Missing calibration yields scaled-only output, never an imputed absolute point
D029	authorization	7	Bulk or very large demographic acquisition	Metadata preflight may expose raw-read or population assets exceeding normal storage	Require A70 for exact URLs/accessions/terms/bytes, <=2 TiB hard pilot acquisition/scratch ceiling, bandwidth, retention and rollback	requires explicit user authorization	Human project owner, Data Steward and HPC Storage Reviewer	Provider sizes/checksums, source terms and low/base/high I/O model	S70 directly depends on A70; A60 has no authority
D030	authorization	7	Expensive demographic inference	Successful staging could otherwise make PSMC/MSMC2/SMC++/SFS/BPP ready	Require separate A71 for exact methods/species/profiles and <=2000 core-h, 256 GiB/job, 2 TiB scratch, 300 GB persistent and I/O/concurrency caps	requires explicit user authorization	Human project owner plus Demographic, Circularity and HPC Reviewers	Validated inputs, synthetic truth, power/resource model and signed command manifest	D71 directly depends on A71; acquisition approval alone is insufficient
D031	resource	7	Demographic low/base/high demand versus zero frozen inputs and no telemetry	Task asks totals but upstream strategy supplies only method ranges and hard pilot caps	Publish provisional 300/1000/2000 core-h partitions with explicit amplification assumptions; require Phase-7 replacement from provider sizes and pilot telemetry; do not estimate catalog-scale demographic total	deferred	Demographic Methods and HPC Storage Reviewers	Exact method mix, provider bytes, synthetic benchmark and pilot telemetry before any scale-out	Only bounded pilot can be considered; demographic catalog program is absent
D032	phylogeny	8	Species, population and assembly units could be pooled	Scaleout plan uses species unit while Ne plan permits multiple populations nested within species	Keep assembly and population responses separate; nest populations in species with within-species covariance; exact TaxId/tree tip only; no fuzzy joins	proceed within recorded bounded scope	Statistical and Phylogenetic Reviewers	Frozen tree ensemble, population crosswalk and unit-labeled response rows	Final models consume separate strata and join only in tier-labeled synthesis
D033	missingness	8	Unavailable/failed rows versus pressure to maximize sample size	Both plans require closed-world ledgers and prohibit zero substitution	No mean/zero imputation in primary evidence; distinguish not measured, inaccessible, failed QC/resource, structural exclusion, unmatched taxon and circular exclusion; report selection by clade/traits without using pi for inclusion	proceed within recorded bounded scope	Statistical Reviewer	Exact set equality and missingness/selection audit	Collectors and release fail on any dropped row
D034	authorization	8	Final statistical fit	Frozen inputs and passing branches are not permission to run or publish	Require A80 for exact tables/formulas/resources and A81 separately for release/cleanup	requires explicit user authorization	Human project owner and Independent Results Reviewer	Non-circular design matrix, tree/model freeze, artifact hashes, <=16 CPU/64 GiB/48 h/100 GB and release review	X80 depends on A80; release depends on A81
D035	deferment	7	Full demographic catalog or unbounded method expansion	No frozen eligible vertebrate inputs, method mix, provider bytes, telemetry or defensible total exists	Do not create a ready scale-out node; retain smaller descriptive methods if valid and propose a new reviewed program only after pilot	deferred	Human project owner	Reviewed Q71 packet, measured resource model and new explicit graph	No default path beyond bounded demographic pilot
D036	assertion	all	Whether synthesis launched jobs, inference or downloads	Task explicitly prohibits Slurm, demographic inference and bulk downloads	Assert and manually verify no sbatch/srun/job IDs, retrieval/staging manifests, biological assets or inference outputs were created; generated commands remain inert	proceed within recorded bounded scope	Program Architect	Git diff, process/scheduler-safe checks, artifact list and completion log	Full execution stays blocked at A60, A70 and A71
