order	phase	proposed_task_id	task_type	after	file_scope	deliverables	guix_environment	slurm_or_local_resources	download_storage_io_budget	retry_limit	validation_gate	reviewer	authorization_boundary	artifact_checks	default_status	resulting_wg_state	notes
240	4	R30-review-pilot-go-no-go	human_review	Q30-independent-pilot-qc	analysis/scaleout/pilot/review/*	Signed method/modality go/no-go, revised measured bounds, retention decision and claim audit	No execution	Local review only	Within phase-4 <=10 GB	0	All pilot transition thresholds pass and quota headroom >=25%; dissent is no-go	Named independent reviewers	Does not authorize wave	Review packet and retention ledger	blocked_until_Q30	A50 may be asked, not approved	Planner/pilot success is evidence only
250	5	A50-authorize-expansion-wave-1	human_decision	R30-review-pilot-go-no-go	.wg decision only	Exact <=10 Tier3A and <=32 Tier3C rows, downloads/resources/I/O/retention/expiry and rollback	No execution	No compute	Exact telemetry-refit envelope below remaining cumulative high ceiling	0	Named human approves exact wave; no blanket future scope	Human project owner plus review panel	Required before wave-1 asset acquisition or compute	Signed row/budget/review hashes	requires_explicit_user_authorization	S50 remains blocked	One decision controls one wave only
260	5	S50-stage-wave-1-assets	bounded_acquisition	A50-authorize-expansion-wave-1	analysis/scaleout/waves/wave-1/provenance/* plus approved scratch	Exact read-only assets, transfer/failure ledger	Approved pinned profile	No compute	Exactly A50; transfers <=2 and token bucket	2 transient; 0 checksum substitution	100% asset/checksum/license disposition	Data Provenance Reviewer	Direct A50 predecessor	Atomic/hash/permissions checks	blocked_until_A50	P50 preflight ready	No alternate asset rescue
270	5	P50-preflight-wave-1	validation	S50-stage-wave-1-assets	analysis/scaleout/waves/wave-1/preflight/*	Exact row verdicts and telemetry-refit predictions	Exact approved environments	Local <=4 CPU; <=16 GiB; <=8 h	Within A50	0	100% exact/native/denominator gates; projected cumulative budget <=approved	Scientific and HPC Reviewers	A50 scope cannot be enlarged	Fingerprints and resource prediction	blocked_until_S50	X50/X51 ready within A50 only	Compute nodes also list A50 as direct dependency
280	5	X50-run-wave-1-tier3a	authorized_slurm_array	A50-authorize-expansion-wave-1,P50-preflight-wave-1	analysis/scaleout/waves/wave-1/tier3a/* plus node scratch	Tier3A outputs/sentinels/telemetry	Exact combined SweepGA/IMPG profile	8 CPU; <=96 GiB/job; concurrency <=10; exact A50 wall/core caps	Exact A50; cumulative never above catalog high ceiling	2 transient; 1 reviewed OOM/time; 0 hard-gate	Failure <=5%, unexplained <=1%, zero lineage breach; median error <=25%, p95 <=50%	Scientific and HPC Reviewers	Direct A50 predecessor	All contract hashes and sacct/sidecar	blocked_until_A50_and_P50	C50 afterany	File-disjoint parallel modality
290	5	X51-run-wave-1-tier3c	parallel_authorized_slurm_array	A50-authorize-expansion-wave-1,P50-preflight-wave-1	analysis/scaleout/waves/wave-1/tier3c/* plus node scratch	Tier3C outputs/sentinels/telemetry	Approved composition profile	2 CPU; <=16 GiB/job; concurrency <=16; exact A50 caps	Exact A50	2 transient; 1 reviewed time; 0 hard-gate	Same wave thresholds and exact native annotation	Scientific and HPC Reviewers	Direct A50 predecessor	All contract hashes	blocked_until_A50_and_P50	C50 afterany	File-disjoint from Tier3A
300	5	C50-collect-review-wave-1	collector_evaluation_join	X50-run-wave-1-tier3a,X51-run-wave-1-tier3c	analysis/scaleout/waves/wave-1/collection/*;analysis/scaleout/waves/wave-1/review/*	Closed ledger, retry manifest, independent QC, resource/I/O refit and signed review	Read-only pinned profile	Local 4 CPU; 32 GiB; 24 h	<=20 GB; no new download	0	100% ledger; outputs/checksums/telemetry >=99%; hard breaches 0; thresholds pass	Independent review panel	Does not authorize next wave	Artifact/hash/partial/supersession and reviewer packet	blocked_until_wave_end	A5N may be asked	Explicit join
310	5	A5N-authorize-expansion-wave-N	human_decision_template	C50-collect-review-wave-1	.wg decision only	One exact next-wave manifest and measured budget; instantiate a distinct A5N per wave	No execution	No compute	Each approval lower than remaining cumulative high ceiling	0	Cumulative failure/resource/I/O gates pass and named human approves one wave	Human project owner plus review panel	Required separately before every later wave	Distinct decision ID/hash/expiry	requires_explicit_user_authorization	S5N/X5N remain blocked	Repeat S/P/X/C/Q/R with disjoint wave directory; never reuse A50
320	5	W5N-run-collect-review-wave-N	authorized_wave_template	A5N-authorize-expansion-wave-N	analysis/scaleout/waves/wave-N/*	Exact staged/preflighted Tier3A/Tier3C outputs, closed collector, independent QC and review	Exact approved profiles	<=10 Tier3A and <=32 Tier3C; exact A5N resources	Exact A5N; cumulative catalog ceiling enforced	Same as wave 1	Same hard/failure/resource/I/O gates; no two similar unexplained failures	Independent review panel	Direct A5N predecessor and no reusable blanket node	Same per-wave contract hashes	blocked_until_distinct_A5N	R60 may evaluate readiness after all authorized waves	Template must expand to explicit S/P/X/C/Q/R tasks when instantiated
330	6	R60-review-full-catalog-readiness	evaluation_join	C50-collect-review-wave-1,W5N-run-collect-review-wave-N	analysis/scaleout/full/readiness/*	Final exact remaining manifest, retry-zero proof, statistical/tree freeze, low/base/high and quota packet	Read-only	Local 4 CPU; 32 GiB; 24 h	<=20 GB	0	100% candidates resolved; zero hard violations/retries; hash 100%, records >=99.9%; >=25% headroom	Joint Scientific, HPC Storage, Reproducibility and Statistical Reviewers	Does not authorize full catalog	Readiness packet hashes and dissent record	blocked_until_reviewed_waves	A60 may be asked	If no later wave instantiated, graph records exact reviewed scope
340	6	A60-authorize-full-catalog-execution	human_joint_decision	R60-review-full-catalog-readiness	.wg decision only	Exact remaining rows and cumulative ceiling allocation; explicit full-catalog Slurm authorization, retention and rollback	No execution	No compute	Cumulative assembly ceiling <=1482 core-h; 96 GiB/job/960 aggregate; 19.4 h; 495 GB scratch; 1672 GB persistent; 1.5 TB download; 1.67/1.02 TB MFS R/W; 3.68m ops; 200 MiB/s	0	All joint humans approve exact scope; any dissent/silence is no	Human project owner plus joint panel	Required before full-catalog staging and every Slurm submission	Signed exact manifest/budget/timestamp/expiry/review hash	requires_explicit_user_authorization	X60/X61 remain blocked	Does not authorize demographics
350	6	X60-execute-remaining-tier3a	full_authorized_slurm_branch	A60-authorize-full-catalog-execution	analysis/scaleout/full/tier3a/* plus node scratch	Remaining exact Tier3A outputs, failures, sentinels, telemetry	Exact combined SweepGA/IMPG profile	8 CPU; <=96 GiB/job; concurrency <=10; exact remaining A60 allocation	Within A60 and cumulative high ceiling	2 transient; 1 reviewed OOM/time; 0 hard-gate	All exact/native/callable and wave thresholds	Joint review panel	Direct A60 predecessor	All contract hashes and no superseded input	blocked_until_A60	C60 afterany	File-disjoint full branch
360	6	X61-execute-remaining-tier3c	parallel_full_authorized_slurm_branch	A60-authorize-full-catalog-execution	analysis/scaleout/full/tier3c/* plus node scratch	Remaining exact Tier3C outputs, failures, sentinels, telemetry	Approved composition profile	2 CPU; <=16 GiB/job; concurrency <=16; exact A60 allocation	Within A60 and cumulative high ceiling	2 transient; 1 reviewed time; 0 hard-gate	Original H1-native/denominator and wave thresholds	Joint review panel	Direct A60 predecessor	All contract hashes	blocked_until_A60	C61 afterany	File-disjoint full branch
370	6	C60-collect-independent-qc-tier3a	collector_evaluation	X60-execute-remaining-tier3a	analysis/scaleout/full/tier3a_collection/*	Closed Tier3A ledger, retry-zero proof, independent QC	Read-only pinned profile	Local 4 CPU; 32 GiB; 24 h	<=20 GB	0	Set equality; hash 100%; record >=99.9%; no hard breach	Independent Results Reviewer	No additional scope	Artifact index, partial/supersession scan	blocked_until_X60	J60 join input	afterany collection
380	6	C61-collect-independent-qc-tier3c	collector_evaluation	X61-execute-remaining-tier3c	analysis/scaleout/full/tier3c_collection/*	Closed Tier3C ledger, retry-zero proof, independent QC	Read-only pinned profile	Local 4 CPU; 32 GiB; 24 h	<=20 GB	0	Set equality; hash 100%; record >=99.9%; no hard breach	Independent Results Reviewer	No additional scope	Artifact index, partial/supersession scan	blocked_until_X61	J60 join input	afterany collection
390	6	J60-reconcile-complete-assembly-catalog	join_review	C60-collect-independent-qc-tier3a,C61-collect-independent-qc-tier3c	analysis/scaleout/full/reconciliation/*	Complete modality-separated accepted/rejected/unavailable/failed catalog and retention packet	Read-only	Local 4 CPU; 32 GiB; 24 h	<=20 GB	0	Input IDs exactly reconcile; no partial/legacy/superseded consumable object	Independent Results and Provenance Reviewers	No demographic authorization	Complete artifact index and checksums	blocked_until_both_full_collectors	Assembly input for final synthesis frozen	Explicit full-branch join
400	7	D70-freeze-demographic-pilot-manifest	metadata_power_preflight	I11-audit-population-demographic-candidates,I12-curate-independent-sources,I13-freeze-taxonomy-tree-model,R20-review-preflight-dryrun-environment	analysis/ne/preflight/*	Method-specific exact assets, scaled estimands, mu/g scenarios, power simulations and low/base/high byte/core/I-O budget	Separate reviewed method manifests	Local simulation <=8 CPU; 32 GiB; 24 h	<=20 GB; metadata/HEAD only	0	All hard inputs; interval coverage >=90%; expected unclassifiable <=20%; high bound fits cap	Demographic Methods, Circularity and HPC Reviewers	Does not authorize biological acquisition	Manifest/source/calibration/overlap/resource hashes	blocked_until_preflight_join	A70 and A71 may be asked sequentially	No assembly pair is promoted by default
410	7	A70-authorize-demographic-acquisition	human_decision	D70-freeze-demographic-pilot-manifest	.wg decision only	Exact population/read/VCF/mask assets, access terms, <=2 TiB hard acquisition/scratch cap, bandwidth, retention and rollback	No execution	No compute	Exact approved low/base/high; never >2 TiB; transfers <=2; <=100 MiB/s	0	Human explicitly approves exact potentially bulk/very-large objects	Human project owner, Data Steward and HPC Storage Reviewer	Required before any demographic biological download	Signed URLs/accessions/bytes/terms/expiry/review hash	requires_explicit_user_authorization	S70 remains blocked	A60 cannot satisfy A70
420	7	S70-stage-demographic-pilot-assets	bounded_bulk_acquisition	A70-authorize-demographic-acquisition	analysis/ne/pilot/provenance/* plus approved scratch	Checksummed references, reads/calls/masks/sample lists, transfer/failure ledger	Pinned retrieval profile	No inference	Exactly A70; local staging; transfers/bandwidth bounded	2 transient; 0 checksum/reference substitution	100% checksum/reference/sample/mask/license disposition	Data Steward and Provenance Reviewer	Direct A70 predecessor	Provider+SHA256, dictionary, sample-list and mask hashes	blocked_until_A70	P70 validation ready	No alternate population or reference rescue
430	7	P70-validate-demographic-inputs	local_validation	S70-stage-demographic-pilot-assets	analysis/ne/pilot/preflight/*	Method-specific final eligibility, callability/phase/coverage/polarization and calibration verdicts	Exact method profiles; no inference	Local <=8 CPU; 32 GiB; 24 h	Within A70; <=50 GB local processing	0	100% exact gates; PSMC >=15x plus FNR if novel; cohort/SMC++/MSMC2 rules pass; primary overlap none	Demographic Methods and Circularity Reviewers	Does not authorize inference	All input and decision hashes	blocked_until_S70	A71 can decide exact passing subset	Invalid inputs remain in denominator
440	7	A71-authorize-expensive-demographic-inference	human_decision	P70-validate-demographic-inputs,R20-review-preflight-dryrun-environment	.wg decision only	Exact species/method/commands/profiles and <=2000 core-h, 256 GiB/job, 2 TiB scratch, 300 GB persistent, I/O/concurrency and rollback	No execution	No compute	No new acquisition; exact inference caps	0	Human separately approves expensive methods and exact envelope	Human project owner plus Demographic, Circularity and HPC Reviewers	Required before PSMC/MSMC2/SMC++/SFS/BPP or expensive reanalysis	Signed method/budget/profile/review hashes	requires_explicit_user_authorization	D71 scatter remains blocked	A70 acquisition is not inference permission
450	7	D71-run-demographic-method-pilot	authorized_scatter	A71-authorize-expensive-demographic-inference,P70-validate-demographic-inputs	analysis/ne/pilot/results/<method>/* plus node scratch	Native scaled histories/estimands, bootstrap/chains/starts, scenario draws separately, failures and telemetry	Exact separate method-specific Guix profile per file-disjoint method directory	<=6 species/method; <=256 GiB/job; compute concurrency <=6; aggregate <=2000 core-h	<=2 TiB scratch; <=300 GB persistent; <=8 TB read/3 TB write; <=2m ops; 100 MiB/s	2 transient; 1 prespecified scientific remediation after review; 1 reviewed OOM/time within cap	>=90% eligible finish; truth coverage >=90%; finite identifiable intervals; zero circular primary output	Demographic Methods Reviewer	Direct A71 predecessor	Input/output/command/env/calibration/sentinel hashes and telemetry	blocked_until_A71	C71 afterany	Instantiate file-disjoint PSMC/MSMC2/SMC++/SFS/BPP/independent-method tasks
460	7	C71-collect-demographic-pilot	collector_join_afterany	D71-run-demographic-method-pilot	analysis/ne/pilot/collection/*	Closed method/status ledger, retry manifest, native/scenario separation and telemetry	Read-only pinned profile	Local 4 CPU; 32 GiB; 24 h	<=20 GB	0	All authorized rows exactly reconciled; failures retained; no shared result in primary table	Data Provenance and Circularity Reviewers	No expansion authorization	Artifact/calibration/overlap/partial checks	blocked_until_D71	Q71 review ready	Method scatter join
470	7	Q71-independent-demographic-review	independent_evaluation	C71-collect-demographic-pilot	analysis/ne/pilot/review/*	Truth/mask/phase/identifiability/circularity/resource review and method-specific go/no-go	Read-only	Local 4 CPU; 16 core-h; 32 GiB; 24 h	<=10 GB	0	Truth >=90%; eligible finish >=90%; median resource error <=35%, p95 <=75%, no stage >2x; zero leakage/reference breach	Independent Demographic, Statistical/Circularity and Reproducibility Reviewers	Does not authorize expansion	Independent hashes, curves, scenarios and claim audit	blocked_until_C71	Reviewed demographic subset frozen	Catalog-scale demographic expansion remains deferred/new program
480	8	A80-authorize-final-statistical-synthesis	human_decision	J60-reconcile-complete-assembly-catalog,Q71-independent-demographic-review,I12-curate-independent-sources,I13-freeze-taxonomy-tree-model	.wg decision only	Exact frozen response/predictor/tree tables, formulas, outputs, <=16 CPU/64 GiB/48 h/100 GB and claim policy	No execution	No compute	No download; <=100 GB analysis scratch/persistent	0	Human accepts frozen non-circular tables, models and release candidate scope	Human project owner and Statistical Reviewer	Required before final fit	Signed table/formula/hash/budget/review packet	requires_explicit_user_authorization	X80 remains blocked	If demographic subset is deferred, a reviewed explicit missing branch must replace Q71; never fake results
490	8	X80-fit-and-synthesize	authorized_analysis	A80-authorize-final-statistical-synthesis	analysis/scaleout/final/*;analysis/ne/primary/*;analysis/ne/synthesis/*	Separate assembly/population fits, independent primary/secondary models, shared-genomic sensitivity, tiered figures/tables and diagnostics	Reviewed pinned phylogenetic/statistical Guix profile	<=16 CPU; 64 GiB; 48 h	<=100 GB; no download	1 deterministic rerun; 0 data/model substitution	Convergence/PPC/type-I/tree/leave-clade-out/missingness/multiple-test and claim-label gates pass	Statistical Reviewer	Direct A80 predecessor	Input/model/seed/env/output hashes	blocked_until_A80	Q80 independent reproduction ready	No demographic result promoted to primary predictor
500	8	Q80-independent-release-review	independent_evaluation	X80-fit-and-synthesize	analysis/scaleout/release_review/*	Independent reproduction, complete claim-permission/provenance/missingness/artifact and retention audit	Read-only exact profile	Local 8 CPU; 32 GiB; 24 h	<=50 GB; no download	0	Counts/hashes/results reproduce; every panel labels unit/scale/overlap/calibration; no partial/superseded input	Independent Results Reviewer	Does not authorize public release/cleanup	Reproduction logs and complete artifact index	blocked_until_X80	A81 may be asked	No silent default release
510	8	A81-authorize-release-cleanup	human_decision	Q80-independent-release-review	.wg decision only	Exact release artifact list and checksum-led retention/cleanup plan	No execution	No compute	No new download; deletion list exact and bounded	0	Human approves release and each cleanup class	Human project owner and Data Steward	Required before release or material cleanup	Signed release/checksum/deletion ledger	requires_explicit_user_authorization	R81 remains blocked	Cleanup cannot use globs
520	8	R81-release-and-close	release	A81-authorize-release-cleanup	analysis/releases/vertebrate_scaleout/*	Versioned release, artifact checksums, retained failure ledgers, provenance, telemetry and deletion receipts	Exact reviewed profile	Local only	Within A81	0	Release hashes match Q80; all inventory statuses and retention receipts complete	Independent Results Reviewer	Direct A81 predecessor	Final artifact index and recovery test	blocked_until_A81	WG program complete after review	No jobs/downloads implied by this graph proposal
